"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Programming\Asset Management - KP\dewafin_prod\src\app\(main)\dashboard\_components\DashboardCardWrapper.tsx", "TypeScript JSX", 0, 26, 0, 0, 4, 30
"c:\Programming\Asset Management - KP\dewafin_prod\src\app\(main)\dashboard\_components\FavMenu.tsx", "TypeScript JSX", 0, 22, 0, 0, 3, 25
"c:\Programming\Asset Management - KP\dewafin_prod\src\app\(main)\dashboard\_components\LatestNote.tsx", "TypeScript JSX", 0, 58, 0, 0, 7, 65
"c:\Programming\Asset Management - KP\dewafin_prod\src\app\(main)\dashboard\_components\Statistic.tsx", "TypeScript JSX", 0, 62, 0, 0, 9, 71
"c:\Programming\Asset Management - KP\dewafin_prod\src\app\(main)\dashboard\_components\Todos.tsx", "TypeScript JSX", 0, 57, 0, 0, 7, 64
"c:\Programming\Asset Management - KP\dewafin_prod\src\app\(main)\dashboard\page.tsx", "TypeScript JSX", 0, 20, 0, 0, 2, 22
"c:\Programming\Asset Management - KP\dewafin_prod\src\app\(main)\employees\_components\addEmployeeButton.tsx", "TypeScript JSX", 0, 10, 0, 0, 3, 13
"c:\Programming\Asset Management - KP\dewafin_prod\src\app\(main)\employees\_components\form\addEmployeeForm.tsx", "TypeScript JSX", 0, 278, 0, 0, 8, 286
"c:\Programming\Asset Management - KP\dewafin_prod\src\app\(main)\employees\_components\form\editEmployeeForm.tsx", "TypeScript JSX", 0, 313, 0, 0, 7, 320
"c:\Programming\Asset Management - KP\dewafin_prod\src\app\(main)\employees\_components\table\employeeCollumns.tsx", "TypeScript JSX", 0, 181, 0, 16, 5, 202
"c:\Programming\Asset Management - KP\dewafin_prod\src\app\(main)\employees\_components\table\employeeRowAction.tsx", "TypeScript JSX", 0, 63, 0, 0, 6, 69
"c:\Programming\Asset Management - KP\dewafin_prod\src\app\(main)\employees\_components\table\employeeTableOption.tsx", "TypeScript JSX", 0, 12, 0, 0, 1, 13
"c:\Programming\Asset Management - KP\dewafin_prod\src\app\(main)\employees\_components\table\employeesTable.tsx", "TypeScript JSX", 0, 15, 0, 0, 4, 19
"c:\Programming\Asset Management - KP\dewafin_prod\src\app\(main)\employees\page.tsx", "TypeScript JSX", 0, 19, 0, 0, 2, 21
"c:\Programming\Asset Management - KP\dewafin_prod\src\app\(main)\files\_components\FileUploadButton.tsx", "TypeScript JSX", 0, 202, 0, 4, 13, 219
"c:\Programming\Asset Management - KP\dewafin_prod\src\app\(main)\files\_components\table\fileColumns.tsx", "TypeScript JSX", 0, 101, 0, 26, 6, 133
"c:\Programming\Asset Management - KP\dewafin_prod\src\app\(main)\files\_components\table\fileRowAction.tsx", "TypeScript JSX", 0, 60, 0, 0, 11, 71
"c:\Programming\Asset Management - KP\dewafin_prod\src\app\(main)\files\_components\table\filesTable.tsx", "TypeScript JSX", 0, 13, 0, 0, 2, 15
"c:\Programming\Asset Management - KP\dewafin_prod\src\app\(main)\files\page.tsx", "TypeScript JSX", 0, 17, 0, 0, 2, 19
"c:\Programming\Asset Management - KP\dewafin_prod\src\app\(main)\layout.tsx", "TypeScript JSX", 0, 25, 0, 0, 2, 27
"c:\Programming\Asset Management - KP\dewafin_prod\src\app\(main)\logs\_components\LogHeader.tsx", "TypeScript JSX", 0, 14, 0, 0, 4, 18
"c:\Programming\Asset Management - KP\dewafin_prod\src\app\(main)\logs\_components\LogSearchBar.tsx", "TypeScript JSX", 0, 45, 0, 0, 4, 49
"c:\Programming\Asset Management - KP\dewafin_prod\src\app\(main)\logs\_components\LogTable.tsx", "TypeScript JSX", 0, 42, 0, 0, 3, 45
"c:\Programming\Asset Management - KP\dewafin_prod\src\app\(main)\logs\page.tsx", "TypeScript JSX", 0, 48, 0, 0, 7, 55
"c:\Programming\Asset Management - KP\dewafin_prod\src\app\(main)\notes\[slug]\page.tsx", "TypeScript JSX", 0, 124, 0, 1, 14, 139
"c:\Programming\Asset Management - KP\dewafin_prod\src\app\(main)\notes\_components\AddNoteButton.tsx", "TypeScript JSX", 0, 29, 0, 0, 6, 35
"c:\Programming\Asset Management - KP\dewafin_prod\src\app\(main)\notes\_components\NoteCard.tsx", "TypeScript JSX", 0, 69, 0, 0, 7, 76
